order_id,product_id,quantity
1,3,7
2,2,9
3,1,4
4,3,7
5,1,6
6,5,5
7,3,8
8,1,7
9,5,4
10,2,5
11,2,3
12,2,6
13,3,7
14,2,3
15,5,6
16,2,1
17,4,3
18,3,8
19,5,3
20,4,2
21,2,8
22,2,2
23,3,3
24,5,5
25,1,3
26,2,9
27,5,9
28,2,8
29,2,8
30,5,8
31,1,6
32,5,7
33,1,9
34,1,7
35,2,1
36,1,7
37,3,5
38,1,2
39,4,6
40,2,4
41,5,2
42,1,3
43,1,7
44,5,9
45,5,2
46,2,6
47,3,1
48,2,4
49,3,6
50,1,4
51,2,6
52,2,3
53,1,7
54,5,5
55,2,2
56,1,1
57,2,5
58,1,4
59,2,3
60,1,4
61,4,7
62,2,5
63,2,1
64,3,3
65,1,1
66,1,3
67,4,8
68,1,3
69,4,7
70,1,1
71,2,5
72,2,9
73,4,5
74,2,4
75,4,2
76,3,3
77,2,1
78,3,3
79,1,2
80,1,7
81,2,1
82,1,4
83,2,2
84,3,7
85,1,1
86,4,6
87,5,8
88,5,6
89,1,3
90,1,4
91,4,5
92,1,1
93,2,8
94,1,1
95,1,2
96,1,9
97,1,2
98,2,9
99,2,5
100,5,8
101,5,5
102,2,9
103,2,8
104,2,7
105,4,8
106,1,5
107,2,8
108,1,8
109,5,3
110,1,8
111,2,6
112,5,2
113,1,8
114,4,7
115,1,4
116,2,3
117,3,1
118,3,1
119,2,9
120,3,1
121,4,6
122,5,3
123,4,3
124,2,1
125,3,1
126,3,4
127,1,1
128,2,9
129,2,2
130,2,4
131,2,3
132,2,8
133,4,4
134,1,4
135,2,2
136,1,7
137,1,7
138,2,9
139,4,4
140,5,8
141,4,9
142,2,2
143,3,2
144,3,3
145,5,9
146,2,4
147,3,3
148,2,2
149,5,3
150,4,7
151,2,4
152,1,1
153,1,6
154,3,9
155,1,2
156,1,8
157,1,6
158,2,7
159,5,4
160,2,3
161,2,8
162,2,4
163,1,4
164,2,7
165,1,7
166,2,5
167,4,6
168,2,3
169,2,5
170,1,8
171,5,6
172,2,7
173,1,6
174,2,5
175,1,3
176,2,9
177,1,8
178,1,1
179,1,3
180,3,4
181,2,3
182,1,3
183,1,3
184,3,7
185,5,1
186,5,4
187,2,2
188,2,4
189,2,6
190,2,7
191,4,8
192,3,3
193,5,5
194,5,3
195,2,8
196,2,7
197,1,3
198,2,5
199,3,8
200,2,5
201,2,7
202,3,1
203,3,7
204,2,7
205,2,2
206,1,1
207,1,5
208,5,8
209,3,3
210,1,5
211,5,7
212,5,4
213,2,5
214,2,1
215,1,3
216,5,8
217,2,5
218,2,1
219,1,3
220,4,2
221,1,1
222,3,4
223,5,2
224,1,1
225,3,8
226,5,9
227,1,4
228,2,6
229,2,5
230,5,9
231,1,8
232,2,4
233,4,1
234,2,8
235,2,4
236,2,8
237,2,9
238,2,3
239,4,8
240,5,1
241,4,6
242,2,5
243,5,8
244,2,4
245,4,6
246,5,8
247,2,3
248,2,8
249,2,2
250,3,6
251,1,4
252,2,4
253,5,2
254,2,7
255,5,6
256,1,7
257,1,8
258,2,8
259,2,6
260,1,9
261,3,5
262,2,5
263,2,4
264,2,8
265,1,7
266,2,6
267,1,5
268,1,1
269,2,4
270,1,3
271,1,8
272,1,8
273,1,5
274,2,1
275,1,2
276,1,7
277,2,3
278,1,1
279,2,1
280,1,9
281,2,5
282,1,8
283,2,5
284,1,7
285,1,7
286,5,3
287,2,1
288,2,1
289,5,2
290,2,6
291,2,8
292,1,8
293,4,2
294,2,6
